symbol,type,date,price,shares,cost,pnl
600638,sell,2025-04-28,63.1532,0,,0.0
600638,sell,2025-04-29,61.4464,0,,0.0
600638,sell,2025-04-30,65.8354,0,,0.0
600638,sell,2025-05-06,64.0067,0,,0.0
600638,sell,2025-05-07,65.8354,0,,0.0
600638,sell,2025-05-08,64.7382,0,,0.0
600638,sell,2025-05-09,65.3478,0,,0.0
600638,sell,2025-05-12,65.2258,0,,0.0
600638,sell,2025-05-13,65.3478,0,,0.0
600638,sell,2025-05-14,64.2505,0,,0.0
600638,sell,2025-05-15,65.1039,0,,0.0
600638,sell,2025-05-16,65.1039,0,,0.0
600638,sell,2025-05-19,64.8601,0,,0.0
600638,sell,2025-05-20,65.5916,0,,0.0
600638,sell,2025-05-21,65.5916,0,,0.0
600638,sell,2025-05-22,65.2258,0,,0.0
600638,sell,2025-05-23,64.3724,0,,0.0
600638,sell,2025-05-26,63.2752,0,,0.0
600638,sell,2025-05-27,63.519,0,,0.0
600638,sell,2025-05-28,64.6162,0,,0.0
600638,sell,2025-05-29,64.4943,0,,0.0
600638,sell,2025-05-30,64.982,0,,0.0
600638,sell,2025-06-03,64.7382,0,,0.0
600638,sell,2025-06-04,66.6888,0,,0.0
600638,sell,2025-06-05,69.6149,0,,0.0
600638,sell,2025-06-06,69.6149,0,,0.0
600638,sell,2025-06-09,69.2491,0,,0.0
600638,sell,2025-06-10,70.1025,0,,0.0
600638,sell,2025-06-11,69.4929,0,,0.0
600638,sell,2025-06-12,69.8587,0,,0.0
600638,sell,2025-06-13,72.0532,0,,0.0
600638,sell,2025-06-16,69.8587,0,,0.0
600638,sell,2025-06-17,75.1011,0,,0.0
600638,sell,2025-06-18,77.7833,0,,0.0
600638,sell,2025-06-19,71.4436,0,,0.0
600638,sell,2025-06-20,67.4203,0,,0.0
600638,sell,2025-06-23,65.2258,0,,0.0
600638,sell,2025-06-24,65.5916,0,,0.0
600638,sell,2025-06-25,66.9327,0,,0.0
600638,sell,2025-06-26,72.1751,0,,0.0
600638,sell,2025-06-27,71.6875,0,,0.0
600638,sell,2025-06-30,71.9313,0,,0.0
600638,sell,2025-07-01,71.4436,0,,0.0
600638,sell,2025-07-02,70.4683,0,,0.0
600638,sell,2025-07-03,70.834,0,,0.0
600638,sell,2025-07-04,70.834,0,,0.0
600638,sell,2025-07-07,69.8587,0,,0.0
600638,sell,2025-07-08,72.297,0,,0.0
600638,sell,2025-07-09,72.6628,0,,0.0
600638,sell,2025-07-10,73.882,0,,0.0
600638,sell,2025-07-11,75.8327,0,,0.0
600638,sell,2025-07-14,78.8806,0,,0.0
600638,sell,2025-07-15,75.4669,0,,0.0
600638,sell,2025-07-16,75.5888,0,,0.0
600638,sell,2025-07-17,75.4669,0,,0.0
600638,sell,2025-07-18,74.9792,0,,0.0
600638,sell,2025-07-21,74.6135,0,,0.0
600638,sell,2025-07-22,75.5888,0,,0.0
600638,sell,2025-07-23,74.9792,0,,0.0
600638,sell,2025-07-24,74.0039,0,,0.0
600638,sell,2025-07-25,74.4916,0,,0.0
600638,sell,2025-07-28,74.4916,0,,0.0
600638,sell,2025-07-29,74.2477,0,,0.0
600638,sell,2025-07-30,73.6381,0,,0.0
600638,sell,2025-07-31,73.1505,0,,0.0
600638,sell,2025-08-01,71.0779,0,,0.0
600638,sell,2025-08-04,71.4436,0,,0.0
600638,sell,2025-08-05,71.6908,0,,0.0
600638,sell,2025-08-06,71.9363,0,,0.0
600638,sell,2025-08-07,72.1819,0,,0.0
600638,sell,2025-08-08,72.4274,0,,0.0
600638,sell,2025-08-11,72.3046,0,,0.0
600638,sell,2025-08-12,72.7956,0,,0.0
600638,sell,2025-08-13,73.0412,0,,0.0
600638,sell,2025-08-14,73.1639,0,,0.0
600638,sell,2025-08-15,71.077,0,,0.0
600638,sell,2025-08-18,73.5322,0,,0.0
600638,sell,2025-08-19,74.0232,0,,0.0
600638,sell,2025-08-20,73.7777,0,,0.0
600638,sell,2025-08-21,74.3915,0,,0.0
600638,sell,2025-08-22,74.0232,0,,0.0
600638,sell,2025-08-25,75.1281,0,,0.0
600638,sell,2025-08-26,76.1101,0,,0.0
600638,sell,2025-08-27,75.4963,0,,0.0
600638,sell,2025-08-28,72.6729,0,,0.0
600638,sell,2025-08-29,73.4094,0,,0.0
600638,sell,2025-09-01,72.9184,0,,0.0
600638,sell,2025-09-02,72.5501,0,,0.0
600638,sell,2025-09-03,71.1998,0,,0.0
600638,sell,2025-09-04,69.8494,0,,0.0
600638,sell,2025-09-05,69.8494,0,,0.0
600638,sell,2025-09-08,69.6039,0,,0.0
600638,sell,2025-09-09,70.7088,0,,0.0
600638,sell,2025-09-10,71.1998,0,,0.0
600638,sell,2025-09-11,71.1998,0,,0.0
600638,sell,2025-09-12,71.8136,0,,0.0
600638,sell,2025-09-15,73.7777,0,,0.0
600638,sell,2025-09-16,73.2867,0,,0.0
600638,sell,2025-09-17,74.2687,0,,0.0
600638,sell,2025-09-18,74.146,0,,0.0
600638,sell,2025-09-19,71.9363,0,,0.0
600638,sell,2025-09-22,71.4453,0,,0.0
600638,sell,2025-09-23,70.095,0,,0.0
600638,sell,2025-09-24,67.7626,0,,0.0
600638,sell,2025-09-25,69.7267,0,,0.0
600638,sell,2025-09-26,68.0081,0,,0.0
600638,sell,2025-09-29,68.6219,0,,0.0
600638,sell,2025-09-30,73.655,0,,0.0
600638,sell,2025-10-09,73.7777,0,,0.0
600638,sell,2025-10-10,73.9005,0,,0.0
600638,sell,2025-10-13,72.3046,0,,0.0
600638,sell,2025-10-14,73.5322,0,,0.0
600638,sell,2025-10-15,74.637,0,,0.0
600638,sell,2025-10-16,75.3736,0,,0.0
600638,sell,2025-10-17,74.3915,0,,0.0
600638,sell,2025-10-20,76.7239,0,,0.0
600638,sell,2025-10-21,76.3556,0,,0.0
600638,sell,2025-10-22,77.5832,0,,0.0
600638,sell,2025-10-23,78.4425,0,,0.0
600638,sell,2025-10-24,77.3377,0,,0.0
600638,sell,2025-10-27,75.9874,0,,0.0
600638,sell,2025-10-28,75.2508,0,,0.0
600638,sell,2025-10-29,75.0053,0,,0.0
600638,sell,2025-10-30,74.3915,0,,0.0
600638,sell,2025-10-31,74.2687,0,,0.0
600638,sell,2025-11-03,74.8825,0,,0.0
600638,sell,2025-11-04,74.3915,0,,0.0
600638,sell,2025-11-05,73.4094,0,,0.0
600638,sell,2025-11-06,74.0232,0,,0.0
600638,sell,2025-11-07,73.7777,0,,0.0
600638,sell,2025-11-10,73.2867,0,,0.0
600638,sell,2025-11-11,74.8825,0,,0.0
600638,sell,2025-11-12,74.8825,0,,0.0
600638,sell,2025-11-13,75.0053,0,,0.0
600638,sell,2025-11-14,75.3736,0,,0.0
600638,sell,2025-11-17,76.6011,0,,0.0
600638,sell,2025-11-18,79.3018,0,,0.0
600638,sell,2025-11-19,77.2149,0,,0.0
600638,sell,2025-11-20,74.7598,0,,0.0
600638,sell,2025-11-21,74.3915,0,,0.0
600638,sell,2025-11-24,70.095,0,,0.0
600638,sell,2025-11-25,71.077,0,,0.0
600638,sell,2025-11-26,71.1998,0,,0.0
600638,sell,2025-11-27,70.4632,0,,0.0
600638,sell,2025-11-28,71.1998,0,,0.0
600638,sell,2025-12-01,71.8136,0,,0.0
600638,sell,2025-12-02,72.1819,0,,0.0
600638,sell,2025-12-03,72.7956,0,,0.0
600638,sell,2025-12-04,72.0591,0,,0.0
600638,sell,2025-12-05,70.9543,0,,0.0
600638,sell,2025-12-08,71.8136,0,,0.0
600638,sell,2025-12-09,72.5501,0,,0.0
600638,sell,2025-12-10,71.4453,0,,0.0
600638,sell,2025-12-11,71.3225,0,,0.0
600638,sell,2025-12-12,68.9901,0,,0.0
600638,sell,2025-12-15,68.0081,0,,0.0
600638,sell,2025-12-16,68.2536,0,,0.0
600638,sell,2025-12-17,68.3763,0,,0.0
600638,sell,2025-12-18,68.0081,0,,0.0
600638,sell,2025-12-19,69.2357,0,,0.0
600638,sell,2025-12-22,70.8315,0,,0.0
600638,sell,2025-12-23,73.1639,0,,0.0
600638,sell,2025-12-24,71.6908,0,,0.0
600638,sell,2025-12-25,71.9363,0,,0.0
600638,sell,2025-12-26,74.3915,0,,0.0
600638,sell,2025-12-29,75.9874,0,,0.0
600638,sell,2025-12-30,75.1281,0,,0.0
600638,sell,2025-12-31,76.1101,0,,0.0
600638,sell,2026-01-05,78.688,0,,0.0
600638,sell,2026-01-06,78.9336,0,,0.0
600638,sell,2026-01-07,81.5115,0,,0.0
600638,sell,2026-01-08,81.266,0,,0.0
600638,sell,2026-01-09,81.8798,0,,0.0
600638,sell,2026-01-12,82.8618,0,,0.0
600638,sell,2026-01-13,83.1073,0,,0.0
600638,sell,2026-01-14,84.9487,0,,0.0
600638,sell,2026-01-15,85.9308,0,,0.0
600638,sell,2026-01-16,87.6494,0,,0.0
600638,sell,2026-01-19,84.826,0,,0.0
600638,sell,2026-01-20,89.1225,0,,0.0
600638,sell,2026-01-21,88.9997,0,,0.0
600638,sell,2026-01-22,90.3501,0,,0.0
600638,sell,2026-01-23,89.6135,0,,0.0
600638,sell,2026-01-26,88.6315,0,,0.0
600638,sell,2026-01-27,88.6315,0,,0.0
600638,sell,2026-01-28,92.0687,0,,0.0
600638,sell,2026-01-29,88.7542,0,,0.0
600638,sell,2026-01-30,89.368,0,,0.0
600638,sell,2026-02-02,91.9459,0,,0.0
600638,sell,2026-02-03,88.877,0,,0.0
600638,sell,2026-02-04,89.2452,0,,0.0
600638,sell,2026-02-05,90.7183,0,,0.0
600638,sell,2026-02-06,88.9997,0,,0.0
600638,sell,2026-02-09,87.7722,0,,0.0
600638,sell,2026-02-10,86.7901,0,,0.0
600638,sell,2026-02-11,86.0535,0,,0.0
600638,sell,2026-02-12,86.9128,0,,0.0
600638,sell,2026-02-13,88.6315,0,,0.0
600638,sell,2026-02-24,88.0177,0,,0.0
600638,sell,2026-02-25,86.9128,0,,0.0
600638,sell,2026-02-26,89.2452,0,,0.0
600638,sell,2026-02-27,85.6853,0,,0.0
600638,sell,2026-03-02,83.1073,0,,0.0
600638,sell,2026-03-03,82.8618,0,,0.0
600638,sell,2026-03-04,80.0384,0,,0.0
600638,sell,2026-03-05,81.266,0,,0.0
600638,sell,2026-03-06,81.8798,0,,0.0
600638,sell,2026-03-09,82.7391,0,,0.0
600638,sell,2026-03-10,82.7391,0,,0.0
600638,sell,2026-03-11,81.8798,0,,0.0
600638,sell,2026-03-12,79.1791,0,,0.0
600638,sell,2026-03-13,79.4246,0,,0.0
600638,sell,2026-03-16,79.1791,0,,0.0
600638,sell,2026-03-17,80.0384,0,,0.0
600638,sell,2026-03-18,81.266,0,,0.0
600638,sell,2026-03-19,79.1791,0,,0.0
600638,sell,2026-03-20,77.9515,0,,0.0
600638,sell,2026-03-23,76.3556,0,,0.0
600638,sell,2026-03-24,71.9363,0,,0.0
600638,sell,2026-03-25,73.4094,0,,0.0
600638,sell,2026-03-26,74.3915,0,,0.0
600638,sell,2026-03-27,71.9363,0,,0.0
600638,sell,2026-03-30,73.1639,0,,0.0
600638,sell,2026-03-31,73.5322,0,,0.0
600638,sell,2026-04-01,73.7777,0,,0.0
600638,sell,2026-04-02,73.1639,0,,0.0
600638,sell,2026-04-03,72.1819,0,,0.0
600638,sell,2026-04-07,70.586,0,,0.0
600638,sell,2026-04-08,73.655,0,,0.0
600638,sell,2026-04-09,73.5322,0,,0.0
600638,sell,2026-04-10,73.0412,0,,0.0
600638,sell,2026-04-13,73.5322,0,,0.0
600638,sell,2026-04-14,74.2687,0,,0.0
600638,sell,2026-04-15,75.2508,0,,0.0
600638,sell,2026-04-16,73.7777,0,,0.0
600638,sell,2026-04-17,73.2867,0,,0.0
600638,sell,2026-04-20,73.0412,0,,0.0
600638,sell,2026-04-21,73.1639,0,,0.0
600638,sell,2026-04-22,75.1281,0,,0.0
600638,sell,2026-04-23,77.8287,0,,0.0
